epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3317.26,0.47583,0.38624,0.80096,0.98692,0.86221,0.8696,0.80999,0.4272,0.36949,0.79848,0.000713,0.000713,0.000713
67,3352.7,0.48429,0.38157,0.80239,0.98733,0.86221,0.87135,0.80393,0.4323,0.36212,0.79872,0.0006932,0.0006932,0.0006932
68,3392.99,0.45914,0.37341,0.79769,0.98803,0.86163,0.87299,0.81263,0.41156,0.33536,0.79367,0.0006734,0.0006734,0.0006734
69,3434.75,0.45395,0.35113,0.79177,0.99003,0.86013,0.87581,0.81979,0.40362,0.32555,0.79236,0.0006536,0.0006536,0.0006536
70,3476.8,0.45043,0.34912,0.79791,0.99516,0.85792,0.87289,0.81952,0.40171,0.32895,0.79185,0.0006338,0.0006338,0.0006338
71,3517.54,0.45589,0.38681,0.80687,0.99464,0.85804,0.87102,0.82003,0.39834,0.33867,0.79261,0.000614,0.000614,0.000614
72,3552.11,0.42949,0.33766,0.78802,0.99515,0.85677,0.86835,0.82175,0.39607,0.33489,0.7937,0.0005942,0.0005942,0.0005942
73,3589.59,0.43869,0.3564,0.79296,0.99359,0.85595,0.86835,0.81684,0.39459,0.32764,0.79273,0.0005744,0.0005744,0.0005744
74,3626.68,0.47764,0.37605,0.79926,0.9976,0.85595,0.87259,0.82012,0.39887,0.3284,0.79116,0.0005546,0.0005546,0.0005546
75,3662.44,0.44679,0.34467,0.79089,0.99885,0.85595,0.87219,0.81897,0.40354,0.32451,0.79105,0.0005348,0.0005348,0.0005348
76,3698.77,0.47737,0.40314,0.80458,0.99656,0.85595,0.86843,0.81601,0.4036,0.33322,0.79126,0.000515,0.000515,0.000515
77,3734.06,0.43819,0.35952,0.78837,0.99447,0.85595,0.86843,0.80868,0.41059,0.32952,0.794,0.0004952,0.0004952,0.0004952
78,3772.92,0.44431,0.35513,0.80717,0.99037,0.85876,0.86823,0.81634,0.40504,0.33245,0.79338,0.0004754,0.0004754,0.0004754
79,3811.16,0.41512,0.32444,0.78276,0.98959,0.86013,0.86823,0.81713,0.40153,0.32564,0.7926,0.0004556,0.0004556,0.0004556
80,3848.86,0.45107,0.3622,0.79892,0.99,0.86013,0.87136,0.81973,0.40385,0.31867,0.79246,0.0004358,0.0004358,0.0004358
81,3883.84,0.45306,0.33946,0.79803,0.99276,0.85932,0.86834,0.8177,0.40358,0.31814,0.79205,0.000416,0.000416,0.000416
82,3919.34,0.43589,0.3365,0.79626,0.99146,0.85804,0.86836,0.81609,0.40411,0.32492,0.79267,0.0003962,0.0003962,0.0003962
83,3954.43,0.44003,0.36186,0.8014,0.99037,0.85892,0.87211,0.81089,0.41006,0.3257,0.79272,0.0003764,0.0003764,0.0003764
84,3989.57,0.42432,0.3337,0.80018,0.98856,0.86013,0.87196,0.81979,0.39586,0.31883,0.79228,0.0003566,0.0003566,0.0003566
85,4024.38,0.44239,0.3401,0.80294,0.98564,0.86013,0.8716,0.81982,0.3909,0.31329,0.79139,0.0003368,0.0003368,0.0003368
86,4060.92,0.43759,0.34421,0.79776,0.9853,0.86013,0.8717,0.81955,0.39827,0.3122,0.79207,0.000317,0.000317,0.000317
87,4098.56,0.43711,0.32952,0.78776,0.9853,0.86013,0.87151,0.82074,0.39963,0.31054,0.7923,0.0002972,0.0002972,0.0002972
88,4142.89,0.41086,0.3124,0.78738,0.98905,0.85804,0.8715,0.82702,0.3797,0.30606,0.79068,0.0002774,0.0002774,0.0002774
89,4178.39,0.43569,0.36988,0.79706,0.98805,0.86013,0.87239,0.82607,0.38086,0.30695,0.79083,0.0002576,0.0002576,0.0002576
90,4213.56,0.43349,0.34643,0.79216,0.99207,0.86013,0.87244,0.80724,0.42311,0.31847,0.79396,0.0002378,0.0002378,0.0002378
91,4250.13,0.4509,0.45528,0.78881,0.99197,0.86013,0.87247,0.8057,0.43565,0.3302,0.79536,0.000218,0.000218,0.000218
92,4283.86,0.45206,0.42068,0.79275,0.99516,0.85798,0.8724,0.82162,0.38969,0.32179,0.79153,0.0001982,0.0001982,0.0001982
93,4321.21,0.44258,0.39224,0.78529,0.99452,0.86013,0.87229,0.82011,0.38727,0.31807,0.78998,0.0001784,0.0001784,0.0001784
94,4360.47,0.4276,0.38474,0.79366,0.99619,0.85804,0.87067,0.8187,0.39098,0.33514,0.78947,0.0001586,0.0001586,0.0001586
95,4397.1,0.41807,0.37041,0.78916,0.99673,0.85804,0.86837,0.81774,0.39539,0.33924,0.78996,0.0001388,0.0001388,0.0001388
96,4436.8,0.41413,0.36685,0.79759,0.99758,0.85952,0.8685,0.81997,0.38741,0.32739,0.78966,0.000119,0.000119,0.000119
97,4473.42,0.41445,0.35321,0.792,0.99758,0.85974,0.86848,0.82298,0.38613,0.32177,0.78946,9.92e-05,9.92e-05,9.92e-05
98,4506.6,0.42382,0.3556,0.78826,0.9953,0.86013,0.86848,0.8212,0.38889,0.31695,0.78926,7.94e-05,7.94e-05,7.94e-05
99,4540.03,0.41482,0.35027,0.7872,0.99509,0.86013,0.87136,0.82074,0.39061,0.31526,0.78941,5.96e-05,5.96e-05,5.96e-05
100,4573.25,0.41189,0.34174,0.7878,0.99456,0.86013,0.87152,0.81984,0.39256,0.31303,0.79012,3.98e-05,3.98e-05,3.98e-05
